Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
48,10,8,97,8,Some Random Commen with Id 48
49,10,8,27,0,Some Random Commen with Id 49
50,10,8,76,7,Some Random Commen with Id 50
51,10,8,47,8,Some Random Commen with Id 51
52,10,8,65,9,Some Random Commen with Id 52
53,10,8,62,5,Some Random Commen with Id 53
54,11,3,44,2,Some Random Commen with Id 54
55,11,3,164,5,Some Random Commen with Id 55
56,11,3,60,3,Some Random Commen with Id 56
57,11,3,0,2,Some Random Commen with Id 57
58,11,3,133,2,Some Random Commen with Id 58
59,12,0,115,8,Some Random Commen with Id 59
60,12,0,181,7,Some Random Commen with Id 60
61,13,6,186,7,Some Random Commen with Id 61
62,13,6,190,7,Some Random Commen with Id 62
63,13,6,97,9,Some Random Commen with Id 63
64,14,0,51,0,Some Random Commen with Id 64
65,14,0,46,5,Some Random Commen with Id 65
66,14,0,53,4,Some Random Commen with Id 66
67,15,8,102,2,Some Random Commen with Id 67
68,15,8,186,4,Some Random Commen with Id 68
69,15,8,92,8,Some Random Commen with Id 69
70,15,8,162,0,Some Random Commen with Id 70
71,15,8,151,8,Some Random Commen with Id 71
72,15,8,136,8,Some Random Commen with Id 72
73,15,8,149,9,Some Random Commen with Id 73
74,15,8,24,7,Some Random Commen with Id 74
75,15,8,157,8,Some Random Commen with Id 75
76,16,5,135,0,Some Random Commen with Id 76
77,16,5,66,1,Some Random Commen with Id 77
78,16,5,96,4,Some Random Commen with Id 78
79,16,5,136,1,Some Random Commen with Id 79
80,18,3,115,5,Some Random Commen with Id 80
81,18,3,19,9,Some Random Commen with Id 81
82,19,7,150,0,Some Random Commen with Id 82
83,19,7,42,0,Some Random Commen with Id 83
84,19,7,48,1,Some Random Commen with Id 84
85,20,1,79,9,Some Random Commen with Id 85
86,20,1,125,9,Some Random Commen with Id 86
87,20,1,97,5,Some Random Commen with Id 87
88,20,1,75,9,Some Random Commen with Id 88
89,21,1,171,2,Some Random Commen with Id 89
90,21,1,72,9,Some Random Commen with Id 90
91,21,1,33,2,Some Random Commen with Id 91
92,21,1,42,3,Some Random Commen with Id 92
93,21,1,127,2,Some Random Commen with Id 93
94,22,9,78,2,Some Random Commen with Id 94
95,22,9,157,3,Some Random Commen with Id 95
96,22,9,158,6,Some Random Commen with Id 96
97,22,9,128,9,Some Random Commen with Id 97
98,22,9,49,8,Some Random Commen with Id 98
99,23,6,6,2,Some Random Commen with Id 99
100,23,6,66,0,Some Random Commen with Id 100
101,23,6,10,7,Some Random Commen with Id 101
102,23,6,34,9,Some Random Commen with Id 102
103,23,6,17,2,Some Random Commen with Id 103
104,23,6,50,9,Some Random Commen with Id 104
105,24,1,136,3,Some Random Commen with Id 105
106,24,1,23,6,Some Random Commen with Id 106
107,24,1,37,6,Some Random Commen with Id 107
108,24,1,3,6,Some Random Commen with Id 108
109,24,1,116,6,Some Random Commen with Id 109
110,24,1,7,1,Some Random Commen with Id 110
111,24,1,148,4,Some Random Commen with Id 111
112,24,1,93,2,Some Random Commen with Id 112
113,25,5,174,6,Some Random Commen with Id 113
114,25,5,199,4,Some Random Commen with Id 114
115,25,5,118,0,Some Random Commen with Id 115
116,25,5,181,0,Some Random Commen with Id 116
117,26,3,81,8,Some Random Commen with Id 117
118,26,3,17,3,Some Random Commen with Id 118
119,26,3,1,1,Some Random Commen with Id 119
120,26,3,151,0,Some Random Commen with Id 120
121,27,3,176,2,Some Random Commen with Id 121
122,27,3,190,9,Some Random Commen with Id 122
123,28,8,16,3,Some Random Commen with Id 123
124,28,8,98,5,Some Random Commen with Id 124
125,28,8,116,2,Some Random Commen with Id 125
126,28,8,182,5,Some Random Commen with Id 126
127,28,8,181,2,Some Random Commen with Id 127
128,29,7,150,3,Some Random Commen with Id 128
129,29,7,52,2,Some Random Commen with Id 129
130,29,7,2,8,Some Random Commen with Id 130
131,29,7,28,4,Some Random Commen with Id 131
132,29,7,144,8,Some Random Commen with Id 132
133,30,4,179,1,Some Random Commen with Id 133
134,30,4,57,1,Some Random Commen with Id 134
135,30,4,47,7,Some Random Commen with Id 135
136,30,4,181,0,Some Random Commen with Id 136
137,30,4,63,3,Some Random Commen with Id 137
138,30,4,171,5,Some Random Commen with Id 138
139,31,2,37,7,Some Random Commen with Id 139
140,32,4,121,4,Some Random Commen with Id 140
141,32,4,49,6,Some Random Commen with Id 141
142,32,4,81,6,Some Random Commen with Id 142
143,32,4,185,5,Some Random Commen with Id 143
144,33,1,105,6,Some Random Commen with Id 144
145,33,1,180,0,Some Random Commen with Id 145
146,33,1,6,0,Some Random Commen with Id 146
147,33,1,26,7,Some Random Commen with Id 147
148,34,2,59,5,Some Random Commen with Id 148
149,34,2,175,2,Some Random Commen with Id 149
150,34,2,190,0,Some Random Commen with Id 150
151,35,2,141,6,Some Random Commen with Id 151
152,35,2,44,1,Some Random Commen with Id 152
153,36,2,169,0,Some Random Commen with Id 153
154,36,2,105,6,Some Random Commen with Id 154
155,36,2,185,8,Some Random Commen with Id 155
156,36,2,106,2,Some Random Commen with Id 156
157,36,2,185,8,Some Random Commen with Id 157
158,38,6,103,9,Some Random Commen with Id 158
159,38,6,16,1,Some Random Commen with Id 159
160,38,6,174,2,Some Random Commen with Id 160
161,38,6,42,4,Some Random Commen with Id 161
162,38,6,54,9,Some Random Commen with Id 162
163,38,6,12,8,Some Random Commen with Id 163
164,38,6,98,4,Some Random Commen with Id 164
165,39,1,21,0,Some Random Commen with Id 165
166,39,1,194,2,Some Random Commen with Id 166
